"No.","Time","Source","Destination","Protocol","Length","Leftover Capture Data","Info"
"153","3.185443","host","3.6.0","USB","154","0017000000380f03000000001000ff0000ff000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002400","URB_CONTROL out"
"154","3.185693","3.6.0","host","USB","64","","URB_CONTROL out"
"155","3.264767","host","3.6.0","USB","154","0018000000380f03000000001000ff0000ff000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002400","URB_CONTROL out"
"156","3.265041","3.6.0","host","USB","64","","URB_CONTROL out"
"157","3.306701","host","3.6.0","USB","154","0019000000380f03000000001000ff0000ff000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002400","URB_CONTROL out"
"158","3.307098","3.6.0","host","USB","64","","URB_CONTROL out"
"159","3.347765","host","3.6.0","USB","154","001a000000380f03000000001000ff0000ff000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002400","URB_CONTROL out"
"160","3.348126","3.6.0","host","USB","64","","URB_CONTROL out"
"161","3.430220","host","3.6.0","USB","154","001b000000380f03000000001000ff0000ff000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002400","URB_CONTROL out"
"162","3.430601","3.6.0","host","USB","64","","URB_CONTROL out"
"163","3.469956","host","3.6.0","USB","154","001c000000380f03000000001000ff0000ff000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002400","URB_CONTROL out"
"164","3.470263","3.6.0","host","USB","64","","URB_CONTROL out"
"165","3.510594","host","3.6.0","USB","154","001d000000380f03000000001000ff0000ff000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002400","URB_CONTROL out"
"166","3.510837","3.6.0","host","USB","64","","URB_CONTROL out"
"167","3.549307","host","3.6.0","USB","154","001e000000380f03000000001000ff0000ff000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002400","URB_CONTROL out"
